# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000155.1	4395	5675	+	WP_127898572.1	WP_127898572.1		hypothetical protein			FHD68_RS16690	1281	426	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000155.1	5679	6413	+							FHD68_RS16695	735		old_locus_tag=FHD68_16695
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000155.1	5679	6413	+	WP_127898571.1	WP_127898571.1		hypothetical protein			FHD68_RS16695	735	244	
gene	tRNA	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000155.1	6429	6513	-							FHD68_RS16700	85		old_locus_tag=FHD68_16700
tRNA		GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000155.1	6429	6513	-				tRNA-Leu			FHD68_RS16700	85		anticodon=TAG
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000155.1	6561	7063	-							FHD68_RS16705	503		partial;old_locus_tag=FHD68_16705
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000155.1	6561	7063	-	WP_139086265.1	WP_139086265.1		NAD(P)H-hydrate dehydratase			FHD68_RS16705	503	166	partial
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000156.1	67	2316	-					rnr		FHD68_RS16710	2250		old_locus_tag=FHD68_16710
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000156.1	67	2316	-	WP_127897789.1	WP_127897789.1		ribonuclease R	rnr		FHD68_RS16710	2250	749	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000156.1	2321	2740	-							FHD68_RS16715	420		old_locus_tag=FHD68_16715
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000156.1	2321	2740	-	WP_127897788.1	WP_127897788.1		GNAT family N-acetyltransferase			FHD68_RS16715	420	139	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000156.1	2737	3876	-					dapE		FHD68_RS16720	1140		old_locus_tag=FHD68_16720
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000156.1	2737	3876	-	WP_045981018.1	WP_045981018.1		succinyl-diaminopimelate desuccinylase	dapE		FHD68_RS16720	1140	379	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000156.1	3876	4643	-							FHD68_RS16725	768		old_locus_tag=FHD68_16725
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000156.1	3876	4643	-	WP_139086267.1	WP_139086267.1		sulfite exporter TauE/SafE family protein			FHD68_RS16725	768	255	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000156.1	4793	6421	+							FHD68_RS16730	1629		old_locus_tag=FHD68_16730
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000156.1	4793	6421	+	WP_127897786.1	WP_127897786.1		acyl-CoA dehydrogenase			FHD68_RS16730	1629	542	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000156.1	6509	6958	+							FHD68_RS16735	450		old_locus_tag=FHD68_16735
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000156.1	6509	6958	+	WP_045981033.1	WP_045981033.1		META domain-containing protein			FHD68_RS16735	450	149	
gene	pseudogene	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000157.1	201	1570	+							FHD68_RS16740	1370		pseudo;old_locus_tag=FHD68_16740
CDS	without_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000157.1	201	1570	+				AMP-binding protein			FHD68_RS16740	1370		pseudo
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000157.1	1841	2518	+							FHD68_RS16745	678		old_locus_tag=FHD68_16745
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000157.1	1841	2518	+	WP_127898087.1	WP_127898087.1		sugar transferase			FHD68_RS16745	678	225	
gene	pseudogene	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000157.1	2559	3738	-							FHD68_RS16750	1180		pseudo;old_locus_tag=FHD68_16750
CDS	without_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000157.1	2559	3738	-				IS3 family transposase			FHD68_RS16750	1180		pseudo
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000157.1	4125	5093	-							FHD68_RS16755	969		old_locus_tag=FHD68_16755
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000157.1	4125	5093	-	WP_127898086.1	WP_127898086.1		hypothetical protein			FHD68_RS16755	969	322	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000158.1	93	452	-							FHD68_RS16760	360		old_locus_tag=FHD68_16760
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000158.1	93	452	-	WP_139086269.1	WP_139086269.1		transposase family protein			FHD68_RS16760	360	119	
gene	pseudogene	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000159.1	1	186	+							FHD68_RS16765	186		partial;pseudo;old_locus_tag=FHD68_16765
CDS	without_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000159.1	1	186	+				urease accessory protein UreD			FHD68_RS16765	186		partial;pseudo
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000159.1	189	503	+							FHD68_RS16770	315		old_locus_tag=FHD68_16770
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000159.1	189	503	+	WP_046000035.1	WP_046000035.1		urease subunit gamma			FHD68_RS16770	315	104	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000159.1	512	1069	+							FHD68_RS16775	558		old_locus_tag=FHD68_16775
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000159.1	512	1069	+	WP_127897885.1	WP_127897885.1		HupE/UreJ family protein			FHD68_RS16775	558	185	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000159.1	1071	1376	+							FHD68_RS16780	306		old_locus_tag=FHD68_16780
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000159.1	1071	1376	+	WP_045981756.1	WP_045981756.1		urease subunit beta			FHD68_RS16780	306	101	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000159.1	1373	3058	+					ureC		FHD68_RS16785	1686		old_locus_tag=FHD68_16785
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000159.1	1373	3058	+	WP_127897884.1	WP_127897884.1		urease subunit alpha	ureC		FHD68_RS16785	1686	561	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000159.1	3075	3626	+							FHD68_RS16790	552		old_locus_tag=FHD68_16790
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000159.1	3075	3626	+	WP_127897883.1	WP_127897883.1		urease accessory protein UreE			FHD68_RS16790	552	183	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000159.1	3613	4254	+							FHD68_RS16795	642		old_locus_tag=FHD68_16795
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000159.1	3613	4254	+	WP_127897882.1	WP_127897882.1		urease accessory protein UreF			FHD68_RS16795	642	213	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000159.1	4251	4874	+					ureG		FHD68_RS16800	624		old_locus_tag=FHD68_16800
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000159.1	4251	4874	+	WP_127897881.1	WP_127897881.1		urease accessory protein UreG	ureG		FHD68_RS16800	624	207	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000159.1	5067	6350	+					urtA		FHD68_RS16805	1284		old_locus_tag=FHD68_16805
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000159.1	5067	6350	+	WP_139086271.1	WP_139086271.1		urea ABC transporter substrate-binding protein	urtA		FHD68_RS16805	1284	427	
gene	pseudogene	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000159.1	6405	6796	+							FHD68_RS16810	392		partial;pseudo;old_locus_tag=FHD68_16810
CDS	without_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000159.1	6405	6796	+				urea ABC transporter permease subunit UrtB			FHD68_RS16810	392		partial;pseudo
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000160.1	353	1225	+							FHD68_RS16815	873		old_locus_tag=FHD68_16815
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000160.1	353	1225	+	WP_046000153.1	WP_046000153.1		ABC transporter permease			FHD68_RS16815	873	290	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000160.1	1222	2034	+							FHD68_RS16820	813		old_locus_tag=FHD68_16820
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000160.1	1222	2034	+	WP_127897987.1	WP_127897987.1		ABC transporter permease			FHD68_RS16820	813	270	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000160.1	2049	3149	+							FHD68_RS16825	1101		old_locus_tag=FHD68_16825
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000160.1	2049	3149	+	WP_127899308.1	WP_127899308.1		ABC transporter ATP-binding protein			FHD68_RS16825	1101	366	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000160.1	3171	4388	-							FHD68_RS16830	1218		old_locus_tag=FHD68_16830
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000160.1	3171	4388	-	WP_127899309.1	WP_127899309.1		cytochrome P450			FHD68_RS16830	1218	405	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000160.1	4496	5659	-							FHD68_RS16835	1164		old_locus_tag=FHD68_16835
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000160.1	4496	5659	-	WP_127897988.1	WP_127897988.1		hypothetical protein			FHD68_RS16835	1164	387	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000160.1	5719	6402	-							FHD68_RS16840	684		old_locus_tag=FHD68_16840
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000160.1	5719	6402	-	WP_045981511.1	WP_045981511.1		M48 family metallopeptidase			FHD68_RS16840	684	227	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000160.1	6408	6769	-							FHD68_RS16845	362		partial;old_locus_tag=FHD68_16845
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000160.1	6408	6769	-	WP_139086273.1	WP_139086273.1		VTT domain-containing protein			FHD68_RS16845	362	119	partial
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000161.1	248	541	-							FHD68_RS16850	294		old_locus_tag=FHD68_16850
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000161.1	248	541	-	WP_139086275.1	WP_139086275.1		integration host factor subunit beta			FHD68_RS16850	294	97	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000161.1	786	1100	+							FHD68_RS16855	315		old_locus_tag=FHD68_16855
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000161.1	786	1100	+	WP_139086277.1	WP_139086277.1		H-NS histone family protein			FHD68_RS16855	315	104	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000161.1	1406	1804	+							FHD68_RS16860	399		old_locus_tag=FHD68_16860
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000161.1	1406	1804	+	WP_139086280.1	WP_139086280.1		BLUF domain-containing protein			FHD68_RS16860	399	132	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000161.1	1880	2176	+							FHD68_RS16865	297		old_locus_tag=FHD68_16865
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000161.1	1880	2176	+	WP_139086283.1	WP_139086283.1		type II toxin-antitoxin system RelE/ParE family toxin			FHD68_RS16865	297	98	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000161.1	2180	2476	+							FHD68_RS16870	297		old_locus_tag=FHD68_16870
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000161.1	2180	2476	+	WP_139086285.1	WP_139086285.1		putative addiction module antidote protein			FHD68_RS16870	297	98	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000161.1	3304	4008	+							FHD68_RS16875	705		old_locus_tag=FHD68_16875
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000161.1	3304	4008	+	WP_139086287.1	WP_139086287.1		response regulator transcription factor			FHD68_RS16875	705	234	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000161.1	5856	6467	+							FHD68_RS16880	612		old_locus_tag=FHD68_16880
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000161.1	5856	6467	+	WP_139086289.1	WP_139086289.1		sugar transferase			FHD68_RS16880	612	203	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000015.1	286	684	+							FHD68_RS04085	399		old_locus_tag=FHD68_04090
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000015.1	286	684	+	WP_045984140.1	WP_045984140.1		DUF983 domain-containing protein			FHD68_RS04085	399	132	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000015.1	681	1352	+							FHD68_RS04090	672		old_locus_tag=FHD68_04095
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000015.1	681	1352	+	WP_127898575.1	WP_127898575.1		DNA mismatch repair protein MutT			FHD68_RS04090	672	223	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000015.1	1349	2119	-							FHD68_RS04095	771		old_locus_tag=FHD68_04100
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000015.1	1349	2119	-	WP_127898576.1	WP_127898576.1		2-(1,2-epoxy-1,2-dihydrophenyl)acetyl-CoA isomerase			FHD68_RS04095	771	256	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000015.1	2182	2640	-							FHD68_RS04100	459		old_locus_tag=FHD68_04105
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000015.1	2182	2640	-	WP_127898577.1	WP_127898577.1		cytochrome c-type biogenesis protein CcmH			FHD68_RS04100	459	152	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000015.1	2637	4601	-							FHD68_RS04105	1965		old_locus_tag=FHD68_04110
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000015.1	2637	4601	-	WP_127898578.1	WP_127898578.1		heme lyase CcmF/NrfE family subunit			FHD68_RS04105	1965	654	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000015.1	4704	5231	-							FHD68_RS04110	528		old_locus_tag=FHD68_04115
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000015.1	4704	5231	-	WP_045984010.1	WP_045984010.1		hypothetical protein			FHD68_RS04110	528	175	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000015.1	5222	5833	-							FHD68_RS04115	612		old_locus_tag=FHD68_04120
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000015.1	5222	5833	-	WP_127898579.1	WP_127898579.1		peptidoglycan-binding protein			FHD68_RS04115	612	203	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000015.1	5930	6379	-							FHD68_RS04120	450		old_locus_tag=FHD68_04125
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000015.1	5930	6379	-	WP_045999619.1	WP_045999619.1		cytochrome c maturation protein CcmE			FHD68_RS04120	450	149	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000015.1	6398	7210	-							FHD68_RS04125	813		old_locus_tag=FHD68_04130
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000015.1	6398	7210	-	WP_127898580.1	WP_127898580.1		glutamate racemase			FHD68_RS04125	813	270	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000015.1	7278	10667	-							FHD68_RS04130	3390		old_locus_tag=FHD68_04135
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000015.1	7278	10667	-	WP_127898581.1	WP_127898581.1		indolepyruvate ferredoxin oxidoreductase family protein			FHD68_RS04130	3390	1129	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000015.1	10829	11734	+							FHD68_RS04135	906		old_locus_tag=FHD68_04140
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000015.1	10829	11734	+	WP_127898582.1	WP_127898582.1		LysR family transcriptional regulator			FHD68_RS04135	906	301	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000015.1	12038	14218	+					purL		FHD68_RS04140	2181		old_locus_tag=FHD68_04145
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000015.1	12038	14218	+	WP_127898583.1	WP_127898583.1		phosphoribosylformylglycinamidine synthase subunit PurL	purL		FHD68_RS04140	2181	726	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000015.1	14215	15357	+							FHD68_RS04145	1143		old_locus_tag=FHD68_04150
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000015.1	14215	15357	+	WP_127898584.1	WP_127898584.1		bifunctional 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase/2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase			FHD68_RS04145	1143	380	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000015.1	15354	15851	+							FHD68_RS04150	498		old_locus_tag=FHD68_04155
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000015.1	15354	15851	+	WP_127898585.1	WP_127898585.1		phosphatidylglycerophosphatase A			FHD68_RS04150	498	165	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000015.1	15848	16318	+							FHD68_RS04155	471		old_locus_tag=FHD68_04160
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000015.1	15848	16318	+	WP_084697672.1	WP_084697672.1		CinA family protein			FHD68_RS04155	471	156	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000015.1	16315	17355	-							FHD68_RS04160	1041		old_locus_tag=FHD68_04165
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000015.1	16315	17355	-	WP_127898586.1	WP_127898586.1		low specificity L-threonine aldolase			FHD68_RS04160	1041	346	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000015.1	17352	17792	-							FHD68_RS04165	441		old_locus_tag=FHD68_04170
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000015.1	17352	17792	-	WP_045984124.1	WP_045984124.1		YcgN family cysteine cluster protein			FHD68_RS04165	441	146	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000015.1	17792	18721	-							FHD68_RS04170	930		old_locus_tag=FHD68_04175
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000015.1	17792	18721	-	WP_127898587.1	WP_127898587.1		bifunctional riboflavin kinase/FAD synthetase			FHD68_RS04170	930	309	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000015.1	18751	19194	-							FHD68_RS04175	444		old_locus_tag=FHD68_04180
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000015.1	18751	19194	-	WP_127898588.1	WP_127898588.1		MaoC family dehydratase			FHD68_RS04175	444	147	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000015.1	19336	20205	-							FHD68_RS04180	870		old_locus_tag=FHD68_04185
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000015.1	19336	20205	-	WP_139085302.1	WP_139085302.1		TIGR01459 family HAD-type hydrolase			FHD68_RS04180	870	289	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000015.1	20205	21122	-							FHD68_RS04185	918		old_locus_tag=FHD68_04190
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000015.1	20205	21122	-	WP_127898590.1	WP_127898590.1		manganese-dependent inorganic pyrophosphatase			FHD68_RS04185	918	305	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000015.1	21261	21770	-							FHD68_RS04190	510		old_locus_tag=FHD68_04195
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000015.1	21261	21770	-	WP_042246772.1	WP_042246772.1		CarD family transcriptional regulator			FHD68_RS04190	510	169	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000015.1	22064	22402	-							FHD68_RS04195	339		old_locus_tag=FHD68_04200
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000015.1	22064	22402	-	WP_045999118.1	WP_045999118.1		ferredoxin family protein			FHD68_RS04195	339	112	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000015.1	22434	22727	-							FHD68_RS04200	294		old_locus_tag=FHD68_04205
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000015.1	22434	22727	-	WP_127898591.1	WP_127898591.1		RNA-binding S4 domain-containing protein			FHD68_RS04200	294	97	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000015.1	22729	25659	-							FHD68_RS04205	2931		old_locus_tag=FHD68_04210
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000015.1	22729	25659	-	WP_127898592.1	WP_127898592.1		disulfide oxidoreductase			FHD68_RS04205	2931	976	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000015.1	25669	26250	-							FHD68_RS04210	582		old_locus_tag=FHD68_04215
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000015.1	25669	26250	-	WP_052714967.1	WP_052714967.1		hypothetical protein			FHD68_RS04210	582	193	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000015.1	26312	26596	+							FHD68_RS04215	285		old_locus_tag=FHD68_04220
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000015.1	26312	26596	+	WP_042246766.1	WP_042246766.1		SCP2 sterol-binding domain-containing protein			FHD68_RS04215	285	94	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000015.1	26605	27543	+							FHD68_RS04220	939		old_locus_tag=FHD68_04225
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000015.1	26605	27543	+	WP_127898593.1	WP_127898593.1		alpha/beta hydrolase			FHD68_RS04220	939	312	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000015.1	27581	28510	-							FHD68_RS04225	930		old_locus_tag=FHD68_04230
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000015.1	27581	28510	-	WP_084693645.1	WP_084693645.1		HlyC/CorC family transporter			FHD68_RS04225	930	309	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000015.1	28507	29004	-					ybeY		FHD68_RS04230	498		old_locus_tag=FHD68_04235
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000015.1	28507	29004	-	WP_045983969.1	WP_045983969.1		rRNA maturation RNase YbeY	ybeY		FHD68_RS04230	498	165	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000015.1	28997	30073	-							FHD68_RS04235	1077		old_locus_tag=FHD68_04240
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000015.1	28997	30073	-	WP_127898594.1	WP_127898594.1		PhoH family protein			FHD68_RS04235	1077	358	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000015.1	30209	30931	-							FHD68_RS04240	723		old_locus_tag=FHD68_04245
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000015.1	30209	30931	-	WP_127898595.1	WP_127898595.1		ATP-binding cassette domain-containing protein			FHD68_RS04240	723	240	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000015.1	30928	31686	-							FHD68_RS04245	759		old_locus_tag=FHD68_04250
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000015.1	30928	31686	-	WP_127898596.1	WP_127898596.1		ABC transporter permease			FHD68_RS04245	759	252	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000015.1	31683	32699	-					alr		FHD68_RS04250	1017		old_locus_tag=FHD68_04255
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000015.1	31683	32699	-	WP_127898597.1	WP_127898597.1		alanine racemase	alr		FHD68_RS04250	1017	338	
